congress,chamber,icpsr,state_icpsr,district_code,state_abbrev,party_code,occupancy,last_means,bioname,bioguide_id,born,died,nominate_dim1,nominate_dim2,nominate_log_likelihood,nominate_geo_mean_probability,nominate_number_of_votes,nominate_number_of_errors,conditional,nokken_poole_dim1,nokken_poole_dim2
96,House,14068,21,7,IL,100,0,1,"COLLINS, Cardiss",C000634,1931,2013.0,-0.552,-0.218,-205.85731,0.783,840,73,,-0.461,-0.411
96,House,14239,21,6,IL,200,0,1,"HYDE, Henry John",H001022,1924,2007.0,0.312,-0.18,-421.20268,0.659,1009,202,,0.165,-0.244
96,House,14271,21,3,IL,100,0,1,"RUSSO, Martin Anthony",R000543,1944,,-0.192,-0.209,-453.07369,0.621,950,223,,-0.18,-0.062
96,House,14275,21,24,IL,100,0,1,"SIMON, Paul Martin",S000423,1928,2003.0,-0.397,-0.224,-272.41996,0.747,935,113,,-0.543,0.048
96,House,14285,21,5,IL,100,0,1,"FARY, John G.",F000040,1911,1984.0,-0.451,0.47,-214.35669,0.809,1014,87,,-0.464,0.488
96,House,14411,21,15,IL,200,0,1,"CORCORAN, Thomas Joseph",C000773,1939,,0.319,-0.247,-336.97597,0.728,1060,148,,0.289,-0.276
96,House,14615,21,22,IL,200,0,1,"CRANE, Daniel Bever",C000871,1936,,0.744,0.048,-208.60978,0.806,969,90,,0.731,0.111
96,House,14665,21,1,IL,100,0,1,"STEWART, Bennett McVey",S000902,1912,1988.0,-0.526,0.065,-188.47981,0.813,910,74,,-0.525,0.068
96,House,14677,21,10,IL,200,2,2,"PORTER, John Edward",P000444,1935,,0.217,-0.604,-208.8612,0.655,493,100,,0.267,-0.812
96,House,948,22,3,IN,100,0,1,"BRADEMAS, John",B000736,1927,2016.0,-0.462,-0.061,-181.9822,0.841,1050,72,,-0.498,0.159
96,House,10732,22,9,IN,100,0,1,"HAMILTON, Lee Herbert",H000114,1931,,-0.171,-0.053,-402.19032,0.681,1048,196,,-0.138,-0.249
96,House,10742,22,11,IN,100,0,1,"JACOBS, Andrew, Jr.",J000033,1932,2013.0,-0.07,-0.846,-905.44769,0.411,1018,439,,0.157,-0.947
96,House,11036,22,7,IN,200,0,1,"MYERS, John Thomas",M001130,1927,2015.0,0.236,0.254,-350.79617,0.714,1040,148,,0.352,0.086
96,House,13018,22,5,IN,200,0,1,"HILLIS, Elwood Haynes",H000624,1926,,0.173,-0.106,-316.04853,0.713,936,132,,0.174,-0.097
96,House,14220,22,6,IN,100,0,1,"EVANS, David Walter",E000239,1946,,-0.054,0.003,-654.59709,0.53,1030,308,,0.025,0.04
96,House,14222,22,2,IN,100,0,1,"FITHIAN, Floyd James",F000161,1928,2003.0,-0.165,-0.061,-358.31054,0.7,1004,186,,-0.171,-0.126
96,House,14274,22,10,IN,100,0,1,"SHARP, Philip Riley",S000294,1942,,-0.166,-0.283,-429.68299,0.666,1059,214,,-0.134,-0.204
96,House,14406,22,1,IN,100,0,1,"BENJAMIN, Adam, Jr.",B000363,1935,1982.0,-0.267,0.136,-471.12772,0.643,1067,223,,-0.239,0.218
96,House,14447,22,4,IN,200,0,1,"QUAYLE, James Danforth (Dan)",Q000007,1947,,0.498,-0.691,-334.22,0.685,882,141,,0.429,-0.548
96,House,14619,22,8,IN,200,0,1,"DECKARD, Huey Joel",D000183,1942,2016.0,0.222,-0.493,-387.42102,0.669,965,181,,0.279,-0.464
96,House,8672,31,4,IA,100,0,1,"SMITH, Neal Edward",S000596,1920,,-0.313,0.174,-334.89382,0.71,976,145,,-0.254,0.053
96,House,14205,31,6,IA,100,0,1,"BEDELL, Berkley Warren",B000298,1921,,-0.24,-0.595,-358.99057,0.692,975,170,,-0.24,-0.579
96,House,14226,31,3,IA,200,0,1,"GRASSLEY, Charles Ernest",G000386,1933,,0.343,-0.069,-305.67218,0.72536,952,140,,0.32,-0.2
96,House,14230,31,5,IA,100,0,1,"HARKIN, Thomas Richard (Tom)",H000206,1939,,-0.351,-0.546,-440.11378,0.639,984,197,,-0.213,-0.788
96,House,14432,31,1,IA,200,0,1,"LEACH, James Albert Smith",L000169,1942,,0.141,-0.79,-388.22866,0.684,1022,173,,0.173,-0.693
96,House,14668,31,2,IA,200,0,1,"TAUKE, Thomas Joseph",T000053,1950,,0.27,-0.775,-361.21182,0.705,1034,158,,0.255,-0.579
96,House,11057,32,3,KS,200,0,1,"WINN, Edward Lawrence, Jr. (Larry)",W000636,1919,,0.247,-0.033,-278.65351,0.722,854,125,,0.207,-0.058
96,House,12029,32,1,KS,200,0,1,"SEBELIUS, Keith George",S000217,1916,1982.0,0.277,0.134,-282.15022,0.735,917,124,,0.259,0.051
96,House,14422,32,4,KS,100,0,1,"GLICKMAN, Daniel Robert",G000240,1944,,-0.133,-0.149,-474.03671,0.632,1034,238,,-0.087,-0.237
96,House,14637,32,2,KS,200,0,1,"JEFFRIES, James Edmund",J000074,1925,1997.0,0.598,0.091,-213.51469,0.815,1042,78,,0.567,0.114
96,House,14670,32,5,KS,200,0,1,"WHITTAKER, Robert Russell",W000426,1939,,0.346,-0.318,-311.91135,0.745,1062,127,,0.294,-0.099
